Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FCL,EQ,15-Jan-2015,231.65,239.95,249.85,230.00,230.00,246.05,245.32,63143,154.90,209,21299,33.73
FCL,EQ,16-Jan-2015,246.05,244.00,244.00,226.10,235.90,236.00,235.91,4194,9.89,57,4085,97.40
FCL,EQ,19-Jan-2015,236.00,241.00,251.00,241.00,244.50,249.35,246.86,33143,81.82,330,20095,60.63
FCL,EQ,20-Jan-2015,249.35,250.00,250.00,242.95,242.95,242.95,249.27,120,0.30,6,110,91.67
FCL,EQ,21-Jan-2015,242.95,239.75,246.95,237.30,246.95,244.25,242.71,95,0.23,11,10,10.53
FCL,EQ,22-Jan-2015,244.25,244.00,248.50,220.10,247.85,220.65,234.81,142,0.33,12,111,78.17
FCL,EQ,23-Jan-2015,220.65,242.70,242.70,239.50,240.00,242.45,241.80,535,1.29,61,280,52.34
FCL,EQ,27-Jan-2015,242.45,266.65,266.65,232.25,242.85,243.95,253.76,4518,11.46,356,1435,31.76
FCL,EQ,28-Jan-2015,243.95,243.00,251.00,235.20,239.25,238.65,245.88,1052,2.59,102,781,74.24
FCL,EQ,29-Jan-2015,238.65,235.15,260.00,214.80,251.45,257.90,249.12,4254,10.60,311,2529,59.45
FCL,EQ,30-Jan-2015,257.90,264.70,265.00,250.00,259.75,259.05,259.00,99309,257.21,403,51210,51.57
FCL,EQ,02-Feb-2015,259.05,262.65,262.70,252.25,259.90,258.70,261.30,42898,112.09,184,41321,96.32
FCL,EQ,03-Feb-2015,258.70,264.00,264.65,256.00,259.90,259.25,260.23,2332,6.07,179,2023,86.75
FCL,EQ,04-Feb-2015,259.25,260.00,268.00,250.00,264.50,263.25,261.49,1582,4.14,232,1045,66.06
FCL,EQ,05-Feb-2015,263.25,266.00,267.00,251.30,251.30,257.00,260.70,1845,4.81,156,1218,66.02
FCL,EQ,06-Feb-2015,257.00,254.00,263.90,249.25,257.15,258.65,257.65,8033,20.70,355,4445,55.33
FCL,EQ,09-Feb-2015,258.65,266.00,270.00,249.05,251.95,253.40,253.99,15419,39.16,251,13137,85.20
FCL,EQ,10-Feb-2015,253.40,255.00,255.00,214.95,245.05,246.50,246.56,36514,90.03,145,35712,97.80
FCL,EQ,11-Feb-2015,246.50,248.00,277.10,236.00,265.15,270.10,267.12,33785,90.25,687,26355,78.01
FCL,EQ,12-Feb-2015,270.10,148.90,148.90,118.55,129.85,125.15,131.66,27006,35.56,557,11737,43.46
FCL,EQ,13-Feb-2015,125.15,133.95,133.95,120.50,123.05,124.85,127.40,3682,4.69,192,1914,51.98
FCL,EQ,16-Feb-2015,124.85,124.00,132.00,121.00,121.00,121.65,124.53,2904,3.62,185,1424,49.04
FCL,EQ,18-Feb-2015,121.65,118.00,137.00,116.00,130.00,127.65,127.27,3398,4.32,144,1527,44.94
FCL,EQ,19-Feb-2015,127.65,129.50,134.90,127.50,127.50,127.50,131.61,5111,6.73,113,1345,26.32
FCL,EQ,20-Feb-2015,127.50,123.30,137.90,107.00,135.00,135.05,131.98,395643,522.16,553,133587,33.76
FCL,EQ,23-Feb-2015,135.05,137.80,139.80,129.50,131.10,131.65,134.29,52840,70.96,236,49216,93.14
FCL,EQ,24-Feb-2015,131.65,136.75,136.80,125.00,126.60,126.95,132.25,48431,64.05,156,45955,94.89
FCL,EQ,25-Feb-2015,126.95,127.00,143.90,127.00,134.00,134.20,137.60,92129,126.77,1832,12100,13.13
FCL,EQ,26-Feb-2015,134.20,135.00,149.90,130.00,133.00,131.20,137.23,57512,78.92,818,31330,54.48
FCL,EQ,27-Feb-2015,131.20,140.00,142.00,124.00,125.00,126.00,130.07,141997,184.70,1869,28039,19.75
FCL,EQ,28-Feb-2015,126.00,129.90,145.50,128.00,128.55,129.25,133.43,171857,229.31,2595,34527,20.09
FCL,EQ,02-Mar-2015,129.25,133.80,138.00,128.50,129.00,129.05,131.46,158068,207.80,887,70208,44.42
FCL,EQ,03-Mar-2015,129.05,131.80,135.25,126.65,127.95,127.35,129.85,40951,53.18,566,9874,24.11
FCL,EQ,04-Mar-2015,127.35,129.00,140.00,127.55,129.00,128.95,131.58,275287,362.23,1050,155359,56.44
FCL,EQ,05-Mar-2015,128.95,129.90,133.70,125.05,130.00,129.90,128.01,331264,424.06,720,149105,45.01
FCL,EQ,09-Mar-2015,129.90,127.00,131.85,124.00,124.00,126.30,126.28,316607,399.80,495,114366,36.12
FCL,EQ,10-Mar-2015,126.30,129.00,129.00,120.95,121.50,122.00,123.46,17448,21.54,263,7199,41.26
FCL,EQ,11-Mar-2015,122.00,129.00,129.00,120.50,123.15,123.70,123.62,45825,56.65,368,6496,14.18
FCL,EQ,12-Mar-2015,123.70,126.60,128.80,120.00,121.00,122.25,122.53,77824,95.36,209,24272,31.19
FCL,EQ,13-Mar-2015,122.25,123.00,125.00,119.00,120.00,120.75,121.58,48003,58.36,183,21709,45.22
FCL,EQ,16-Mar-2015,120.75,124.85,124.85,118.00,122.00,121.80,121.80,42588,51.87,167,37549,88.17
FCL,EQ,17-Mar-2015,121.80,123.95,123.95,117.10,117.10,118.90,120.32,11528,13.87,153,1163,10.09
FCL,EQ,18-Mar-2015,118.90,119.00,119.00,111.00,113.00,112.95,114.25,10373,11.85,157,5899,56.87
FCL,EQ,19-Mar-2015,112.95,111.80,115.55,108.00,110.75,111.20,111.48,19727,21.99,361,12744,64.60
FCL,EQ,20-Mar-2015,111.20,111.00,115.00,109.00,110.00,110.15,111.01,8434,9.36,160,3703,43.91
FCL,EQ,23-Mar-2015,110.15,109.00,113.50,108.10,110.50,111.10,111.38,6018,6.70,144,3352,55.70
FCL,EQ,24-Mar-2015,111.10,110.00,112.85,102.00,104.00,103.70,109.05,61630,67.21,253,55702,90.38
FCL,EQ,25-Mar-2015,103.70,107.95,107.95,95.00,100.00,99.80,98.46,56472,55.60,317,17373,30.76
FCL,EQ,26-Mar-2015,99.80,97.00,102.85,95.00,98.40,96.60,97.34,5695,5.54,105,1838,32.27
FCL,EQ,27-Mar-2015,96.60,96.00,108.00,96.00,98.00,100.00,99.91,182533,182.37,309,158286,86.72
FCL,EQ,30-Mar-2015,100.00,99.00,120.00,98.50,108.65,110.60,109.34,65011,71.08,1088,9386,14.44
FCL,EQ,31-Mar-2015,110.60,110.60,117.90,108.00,110.30,111.00,111.53,94013,104.85,482,76812,81.70
FCL,EQ,01-Apr-2015,111.00,116.80,119.90,110.00,116.50,117.55,116.11,68690,79.76,512,35632,51.87
FCL,EQ,06-Apr-2015,117.55,116.50,119.95,115.00,116.50,116.45,117.88,15760,18.58,162,7447,47.25
FCL,EQ,07-Apr-2015,116.45,117.00,119.00,112.10,113.90,114.80,117.41,6147,7.22,209,2139,34.80
FCL,EQ,08-Apr-2015,114.80,119.00,129.70,116.00,117.55,118.70,120.96,24539,29.68,428,5833,23.77
FCL,EQ,09-Apr-2015,118.70,122.40,127.00,117.50,123.80,123.65,123.39,194498,239.99,484,91612,47.10
FCL,EQ,10-Apr-2015,123.65,128.00,130.00,122.00,126.00,126.60,126.78,96917,122.87,431,85777,88.51
FCL,EQ,13-Apr-2015,126.60,128.00,134.80,126.20,128.00,128.75,128.47,195544,251.22,376,86887,44.43
